cName,PCON11CD,country,region,leave,FishandChipShopsandRestaurants,totalRestaurants,house,salary,publicsector,degree,age,nonukborn,health
Eddisbury,E14000686,England,North West,0.522328216,450,3381,200000,574.4,27.3,30,35,3.3,81.8
Harborough,E14000728,England,East Midlands,0.522466369,156,1732,165000,489.6,15.9,27.7,42,11.1,83
Mid Bedfordshire,E14000813,England,East of England,0.522609586,311,2989,227000,610.8,13.9,31,43,7.9,85.8
Chippenham,E14000635,England,South West,0.523260983,223,2242,196995,534.6,18.9,29.9,42,6.9,83.4
Vale of Glamorgan,W07000078,Wales,Wales,0.52346426,485,2942,165000,511.4,23.4,27.2,45,4.4,79.9
Broxtowe,E14000607,England,East Midlands,0.524148449,361,2245,140000,550,16.6,30.3,41,8.4,81.3
Knowsley,E14000775,England,North West,0.524393861,712,3250,100000,461.5,19.3,14.3,37,2,74.9
Clwyd West,W07000059,Wales,Wales,0.525325044,241,1450,136750,521.4,32.4,25.9,45,4,77.5
Mid Derbyshire,E14000814,England,East Midlands,0.525330997,316,2249,157000,568.9,17.3,31.3,40,4.1,81.9
Welwyn Hatfield,E14001027,England,East of England,0.525352402,229,2250,245000,589.3,12.2,29.9,42,17.5,84.8
Wealden,E14001023,England,South East,0.525462749,405,3673,250000,609.5,12.8,30.2,34,7.4,83.9
Ilford North,E14000759,England,London,0.525668987,241,2499,272250,614,23.4,30.1,45,30.8,82.2
West Worcestershire,E14001035,England,West Midlands,0.525807091,430,3722,210000,466.5,14,33.7,37,4.8,80.8
Tonbridge and Malling,E14000997,England,South East,0.525855051,429,3728,274225,593.3,13.3,30.4,35,7.5,84.7
Congleton,E14000646,England,North West,0.526540939,203,1500,162000,499.6,14.2,31,46,3.3,82.1
South Northamptonshire,E14000942,England,East Midlands,0.526725841,234,2418,210000,569.1,14.2,31.8,38,7.5,86.6
Reading West,E14000890,England,South East,0.52676687,175,3470,200000,602.8,16.2,27.7,44,17.9,84.2
Eltham,E14000690,England,London,0.518152651,159,1743,250000,659.1,30.7,27.8,40,20.4,81.2
Taunton Deane,E14000988,England,South West,0.529247106,204,1402,180500,501.6,28.5,28.1,33,7.1,81.6
Meon Valley,E14000811,England,South East,0.529288912,405,2934,234500,622.5,9.7,31.8,47,5.7,84.4
Milton Keynes South,E14000822,England,South East,0.5296085,486,4720,185000,562,18.2,27,40,17.7,84.7
Wallasey,E14001010,England,North West,0.499231196,631,3250,115000,473.8,26.6,20.2,40,3.8,77
Salford and Eccles,E14000911,England,North West,0.535934575,337,2499,108750,459.2,23.8,24.7,45,13.8,78.4
Newport West,W07000056,Wales,Wales,0.53006771,412,2213,139998,487.6,36.8,26.5,35,8.5,78.9
Shrewsbury and Atcham,E14000926,England,West Midlands,0.53016796,174,1620,167000,480,28.7,29.3,46,5.6,82
Skipton and Ripon,E14000928,England,Yorkshire and The Humber,0.530334506,648,3436,184100,468.1,12.3,31.5,45,5.7,83.2
Leicester East,E14000782,England,East Midlands,0.531644199,123,1500,125000,391.1,26.1,18.3,43,43.3,78.8
Bracknell,E14000586,England,South East,0.53251042,186,2865,245500,597.1,13.6,30.5,33,12.6,86.4
Huntingdon,E14000757,England,East of England,0.532747146,222,2072,190000,552.8,24.3,28.5,34,11.1,84.5
North East Bedfordshire,E14000841,England,East of England,0.532932601,596,4908,215000,589.3,14,30.1,32,7.3,84.8
Thornbury and Yate,E14000994,England,South West,0.533283905,379,3187,212000,497.2,14.4,28.1,43,4.7,84.1
Aberconwy,W07000058,Wales,Wales,0.533837984,183,1176,155000,496.3,23.4,27.1,39,4.6,79.2
Keighley,E14000766,England,Yorkshire and The Humber,0.533250953,296,1247,142500,493.4,23.9,26.7,38,9.6,81.2
Wells,E14001026,England,South West,0.534930546,416,3304,181500,482.4,12,26.5,42,5.7,80.1
Bournemouth East,E14000584,England,South West,0.535071303,186,2249,202000,502.8,23.2,28.1,34,15.9,81.1
Wolverhampton South West,E14001051,England,West Midlands,0.543675021,362,1852,145000,480.5,11.3,28.6,38,19.6,78.9
Basingstoke,E14000545,England,South East,0.53641913,123,1552,210000,622,14.9,28,40,13,85.6
Bury North,E14000611,England,North West,0.536593443,182,747,121500,526.9,23.4,26.1,34,8.4,80.7
East Worthing and Shoreham,E14000682,England,South East,0.536743486,469,2991,217000,468.2,13.9,23.7,37,7.3,80.5
Worcester,E14001052,England,West Midlands,0.536772433,242,2228,163000,506.3,27.4,27.7,43,8.2,82.4
Bedford,E14000552,England,East of England,0.519491665,175,1493,162500,504.5,23.9,25.1,41,22.7,81.7
Derby North,E14000662,England,East Midlands,0.537381664,177,1499,132250,558,35.9,26.9,46,10.8,80.7
Bury St Edmunds,E14000613,England,East of England,0.537385161,250,1760,181750,496.4,19.4,26.4,41,7.3,83.4
Carmarthen East and Dinefwr,W07000067,Wales,Wales,0.537655347,246,1369,130000,540.6,26.8,25.9,39,3.2,75.3
Tewkesbury,E14000990,England,South West,0.537790386,359,3156,193000,545.2,11.6,29.7,42,6.7,83.2
Liverpool Walton,E14000794,England,North West,0.538036006,564,3000,75000,454.7,43.1,13.3,38,4.9,73.6
Sevenoaks,E14000918,England,South East,0.538611222,329,2500,287500,628.2,11.1,32.5,40,8.6,84.7
Rutland and Melton,E14000909,England,East Midlands,0.53957426,308,2629,186000,502.2,13.5,29.9,46,5.8,84.3
Banff and Buchan,S14000007,Scotland,Scotland,0.540184018,157,1061,NA,488.9,21.5,18.6,48,6.4,83.4
Eastleigh,E14000685,England,South East,0.540191845,451,3743,205000,535.5,14.1,26,40,7,84.3
Wyre and Preston North,E14001057,England,North West,0.540370478,339,1747,165000,505.7,30.9,32,42,5.1,81.3
Broadland,E14000603,England,East of England,0.540607715,280,2219,185000,526.3,9.8,24,38,4,81.3
Totnes,E14001001,England,South West,0.540868698,392,2462,225000,489.6,13.6,28.8,41,5,78.2
Slough,E14000930,England,South East,0.541003798,141,1438,210000,530.9,17.6,25.9,42,39.3,83.8
South Suffolk,E14000946,England,East of England,0.541503232,463,3195,195000,517,13.2,26,39,5,82.4
Birmingham Perry Barr,E14000566,England,West Midlands,0.512173171,286,1990,115000,430.3,20.9,19.2,33,29.8,79.3
East Surrey,E14000681,England,South East,0.541918437,350,3000,295000,610,11.1,31.4,33,9.4,84.9
Neath,W07000069,Wales,Wales,0.542076298,433,2079,102000,457.7,27.6,20.7,44,2.3,73.8
Solihull,E14000931,England,West Midlands,0.533483085,246,1750,202000,613.5,17.9,31.1,41,9.4,82
Erith and Thamesmead,E14000696,England,London,0.543272896,173,1498,182000,523.1,22.6,24.9,40,30.6,83.3
Central Suffolk and North Ipswich,E14000624,England,East of England,0.544885551,441,3076,192000,544.4,16.1,26.7,44,5.5,82.7
North West Hampshire,E14000857,England,South East,0.545254317,271,3208,223000,574.3,16,28.3,40,8.1,84.6
Bury South,E14000612,England,North West,0.545260288,528,2495,125000,476.3,25.5,25.3,43,9,80.1
Sunderland Central,E14000982,England,North East,0.599381653,361,1743,112000,463.4,33.1,21.4,30,7.4,75.8
Richmond (Yorks),E14000895,England,Yorkshire and The Humber,0.54699129,416,2290,189950,479.1,29.2,29.7,44,6.2,83.7
Delyn,W07000042,Wales,Wales,0.5477104,144,856,130000,522.2,29.4,23.8,42,3.6,80.3
Bootle,E14000581,England,North West,0.54876439,694,3250,105995,472,32.1,16.5,37,3,75.8
West Lancashire,E14001033,England,North West,0.549380395,706,2745,160000,490.2,16.7,25.2,43,3.9,80.3
